,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,mode,population,observations,clinton,trump,both,other,p_clinton,n_clinton,n_respondents
0,new jersey,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1377.0,52.0,37.0,89.0,8.0,0.5842696629213483,716.0,1226.0
1,new jersey,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,348.0,55.0,41.0,96.0,4.0,0.5729166666666666,191.0,334.0
2,new jersey,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,658.0,48.0,38.0,86.0,0.0,0.5581395348837209,316.0,566.0
3,new jersey,2016-10-27,2016-11-02,6,2016-10-30,43,5,Stockton,Live Phone,,678.0,51.0,40.0,91.0,5.0,0.5604395604395604,346.0,617.0
4,new jersey,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,724.0,55.0,35.0,90.0,7.0,0.6111111111111112,398.0,652.0
5,new jersey,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,353.0,57.0,40.0,97.0,3.0,0.5876288659793815,201.0,342.0
6,new jersey,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,590.0,52.0,36.0,88.0,9.0,0.5909090909090909,307.0,519.0
7,new jersey,2016-10-12,2016-10-16,4,2016-10-14,41,3,Fairleigh Dickinson,Live Phone,,579.0,51.0,40.0,91.0,4.0,0.5604395604395604,295.0,527.0
8,new jersey,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,338.0,57.0,39.0,96.0,4.0,0.59375,193.0,324.0
9,new jersey,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,1084.0,50.0,32.0,82.0,0.0,0.6097560975609756,542.0,889.0
10,new jersey,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,568.0,55.0,41.0,96.0,4.0,0.5729166666666666,312.0,545.0
11,new jersey,2016-09-22,2016-09-29,7,2016-09-25,38,5,Stockton,Live Phone,,638.0,46.0,40.0,86.0,9.0,0.5348837209302325,293.0,549.0
12,new jersey,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,953.0,50.0,32.0,82.0,0.0,0.6097560975609756,476.0,781.0
13,new jersey,2016-09-06,2016-09-10,4,2016-09-08,36,2,Rutgers-Eagleton,Live Phone,,726.0,50.0,29.0,79.0,15.0,0.6329113924050633,363.0,574.0
14,new jersey,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,912.0,53.0,38.0,91.0,0.0,0.5824175824175825,483.0,830.0
15,new jersey,2016-06-22,2016-06-26,4,2016-06-24,25,3,Fairleigh Dickinson,Live Phone,,349.0,44.0,32.0,76.0,15.0,0.5789473684210527,154.0,265.0
16,new jersey,2016-05-31,2016-06-03,3,2016-06-01,22,1,CBS/YouGov,Internet,,1194.0,49.0,34.0,83.0,8.0,0.5903614457831325,585.0,991.0
17,new jersey,2016-05-23,2016-05-27,4,2016-05-25,21,1,Monmouth University,Live Phone,,703.0,38.0,34.0,72.0,11.0,0.5277777777777778,267.0,506.0
18,new jersey,2016-05-18,2016-05-22,4,2016-05-20,20,3,Fairleigh Dickinson,Live Phone,,702.0,48.0,37.0,85.0,7.0,0.5647058823529412,337.0,597.0
19,new jersey,2016-05-10,2016-05-16,6,2016-05-13,19,3,Quinnipiac,Live Phone,,1989.0,45.0,38.0,83.0,3.0,0.5421686746987951,895.0,1651.0
20,new jersey,2016-04-01,2016-04-08,7,2016-04-04,13,6,Rutgers-Eagleton,Live Phone,,738.0,50.0,36.0,86.0,11.0,0.5813953488372093,369.0,635.0
0,utah,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1479.0,31.0,34.0,65.0,34.0,0.47692307692307695,458.0,961.0
1,utah,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,320.0,28.0,43.0,71.0,29.0,0.39436619718309857,90.0,227.0
2,utah,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,532.0,33.0,40.0,73.0,0.0,0.4520547945205479,176.0,388.0
3,utah,2016-11-03,2016-11-05,2,2016-11-04,44,3,CBS/YouGov,Internet,,762.0,23.0,40.0,63.0,34.0,0.36507936507936506,175.0,480.0
4,utah,2016-11-01,2016-11-03,2,2016-11-02,44,1,Y2 Analytics (R),Live Phone,,500.0,24.0,33.0,57.0,37.0,0.42105263157894735,120.0,285.0
5,utah,2016-10-30,2016-11-02,3,2016-10-31,43,6,Monmouth University,Live Phone,,402.0,31.0,37.0,68.0,30.0,0.45588235294117646,125.0,273.0
6,utah,2016-10-29,2016-10-31,2,2016-10-30,43,5,Rasmussen/Heat Street,IVR/Online,,750.0,31.0,42.0,73.0,26.0,0.4246575342465753,232.0,548.0
7,utah,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,1078.0,30.0,33.0,63.0,35.0,0.47619047619047616,323.0,679.0
8,utah,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,315.0,29.0,66.0,95.0,6.0,0.30526315789473685,91.0,299.0
9,utah,2016-10-20,2016-10-27,7,2016-10-23,42,5,Dan Jones/Salt Lake Tribune/Hinckley Institute,Live Phone/Online,,823.0,24.0,32.0,56.0,35.0,0.42857142857142855,198.0,461.0
10,utah,2016-10-23,2016-10-24,1,2016-10-23,42,5,Rasmussen/Heat Street,IVR/Online,,750.0,28.0,32.0,60.0,35.0,0.4666666666666667,210.0,450.0
11,utah,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,969.0,28.0,33.0,61.0,37.0,0.45901639344262296,271.0,591.0
12,utah,2016-10-14,2016-10-16,2,2016-10-15,41,4,Rasmussen/Heat Street,IVR/Online,,750.0,28.0,30.0,58.0,37.0,0.4827586206896552,210.0,435.0
13,utah,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,318.0,29.0,65.0,94.0,5.0,0.30851063829787234,92.0,299.0
14,utah,2016-10-12,2016-10-14,2,2016-10-13,41,2,CBS/YouGov,Internet,,951.0,20.0,37.0,57.0,32.0,0.3508771929824561,190.0,542.0
15,utah,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,543.0,35.0,41.0,76.0,0.0,0.4605263157894737,190.0,413.0
16,utah,2016-10-10,2016-10-12,2,2016-10-11,41,0,Monmouth University,Live Phone,,403.0,28.0,34.0,62.0,31.0,0.45161290322580644,113.0,250.0
17,utah,2016-10-10,2016-10-11,1,2016-10-10,40,6,Y2 Analytics (R),Live Phone,,500.0,26.0,26.0,52.0,40.0,0.5,130.0,260.0
18,utah,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,495.0,28.0,67.0,95.0,5.0,0.29473684210526313,139.0,470.0
19,utah,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,425.0,31.0,48.0,79.0,0.0,0.3924050632911392,132.0,336.0
20,utah,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,722.0,35.0,46.0,81.0,0.0,0.43209876543209874,253.0,585.0
21,utah,2016-08-19,2016-08-21,2,2016-08-20,33,4,PPP (D),IVR/Online,,1018.0,24.0,39.0,63.0,24.0,0.38095238095238093,244.0,641.0
22,utah,2016-07-18,2016-08-04,17,2016-07-26,30,0,Dan Jones & Associates/UtahPolicy.com,Live Phone/Online,,858.0,25.0,37.0,62.0,31.0,0.4032258064516129,214.0,532.0
23,utah,2016-06-08,2016-06-17,9,2016-06-12,23,5,Dan Jones & Associates/UtahPolicy.com,Live Phone/Online,,614.0,27.0,36.0,63.0,30.0,0.42857142857142855,166.0,387.0
24,utah,2016-06-02,2016-06-08,6,2016-06-05,22,5,SurveyUSA/Salt Lake Tribune/Hinckley Institute,IVR/Online,,1238.0,35.0,35.0,70.0,13.0,0.5,433.0,867.0
25,utah,2016-05-31,2016-06-01,1,2016-05-31,22,0,Gravis Marketing,Automated Phone,,1519.0,29.0,36.0,65.0,35.0,0.4461538461538462,441.0,987.0
26,utah,2016-05-02,2016-05-10,8,2016-05-06,18,3,Dan Jones & Associates/UtahPolicy.com,Live Phone/Online,,588.0,30.0,43.0,73.0,0.0,0.410958904109589,176.0,429.0
0,georgia,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,2419.0,45.0,45.0,90.0,7.0,0.5,1089.0,2177.0
1,georgia,2016-11-06,2016-11-06,0,2016-11-06,44,5,Landmark (R)/Rosetta Stone,IVR/Online,,1200.0,46.0,49.0,95.0,3.0,0.4842105263157895,552.0,1140.0
2,georgia,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,366.0,44.0,50.0,94.0,6.0,0.46808510638297873,161.0,344.0
3,georgia,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,691.0,42.0,48.0,90.0,0.0,0.4666666666666667,290.0,622.0
4,georgia,2016-11-03,2016-11-05,2,2016-11-04,44,3,CBS/YouGov,Internet,,995.0,43.0,49.0,92.0,5.0,0.4673913043478261,428.0,915.0
5,georgia,2016-11-02,2016-11-03,1,2016-11-02,44,1,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Online,,1000.0,46.0,48.0,94.0,4.0,0.48936170212765956,460.0,940.0
6,georgia,2016-11-02,2016-11-03,1,2016-11-02,44,1,Opinion Savvy/Fox 5 Atlanta,IVR/Online,,538.0,45.0,49.0,94.0,6.0,0.4787234042553192,242.0,506.0
7,georgia,2016-10-30,2016-11-01,2,2016-10-31,43,6,NBC/WSJ/Marist,Live Phone,,707.0,46.0,47.0,93.0,6.0,0.4946236559139785,325.0,658.0
8,georgia,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,2665.0,44.0,46.0,90.0,7.0,0.4888888888888889,1173.0,2398.0
9,georgia,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,365.0,45.0,50.0,95.0,6.0,0.47368421052631576,164.0,347.0
10,georgia,2016-10-25,2016-10-27,2,2016-10-26,43,1,SurveyUSA/11Alive,IVR/Online,,594.0,42.0,49.0,91.0,3.0,0.46153846153846156,249.0,541.0
11,georgia,2016-10-20,2016-10-26,6,2016-10-23,42,5,Quinnipiac,Live Phone,,707.0,43.0,44.0,87.0,8.0,0.4942528735632184,304.0,615.0
12,georgia,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,2235.0,44.0,47.0,91.0,7.0,0.4835164835164835,983.0,2034.0
13,georgia,2016-10-20,2016-10-20,0,2016-10-20,42,2,Opinion Savvy/Fox 5 Atlanta,IVR/Online,,570.0,46.0,50.0,96.0,3.0,0.4791666666666667,262.0,547.0
14,georgia,2016-10-20,2016-10-20,0,2016-10-20,42,2,Landmark (R),IVR/Live Phone,,600.0,43.0,47.0,90.0,5.0,0.4777777777777778,258.0,540.0
15,georgia,2016-10-17,2016-10-20,3,2016-10-18,42,0,Abt SRBI Inc/Atlanta Journal-Constitution,Live Phone,,839.0,42.0,44.0,86.0,11.0,0.4883720930232558,352.0,722.0
16,georgia,2016-10-17,2016-10-18,1,2016-10-17,41,6,Lucid/The Times-Picayune,Internet,,807.0,44.0,40.0,84.0,9.0,0.5238095238095238,355.0,678.0
17,georgia,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,351.0,45.0,49.0,94.0,6.0,0.4787234042553192,158.0,330.0
18,georgia,2016-10-08,2016-10-16,8,2016-10-12,41,1,WashPost/SurveyMonkey,Internet,,886.0,48.0,45.0,93.0,0.0,0.5161290322580645,425.0,824.0
19,georgia,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,1020.0,42.0,50.0,92.0,0.0,0.45652173913043476,428.0,938.0
20,georgia,2016-10-11,2016-10-12,1,2016-10-11,41,0,Landmark (R),IVR/Live Phone,,1400.0,42.0,48.0,90.0,4.0,0.4666666666666667,588.0,1260.0
21,georgia,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,626.0,43.0,52.0,95.0,6.0,0.45263157894736844,269.0,595.0
22,georgia,2016-09-21,2016-09-22,1,2016-09-21,38,1,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Live Phone,,600.0,43.0,47.0,90.0,6.0,0.4777777777777778,258.0,540.0
23,georgia,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,947.0,43.0,46.0,89.0,0.0,0.48314606741573035,407.0,843.0
24,georgia,2016-09-13,2016-09-21,8,2016-09-17,37,4,Quinnipiac,Live Phone,,638.0,40.0,47.0,87.0,9.0,0.45977011494252873,255.0,555.0
25,georgia,2016-09-15,2016-09-18,3,2016-09-16,37,3,Monmouth University,Live Phone,,401.0,42.0,45.0,87.0,9.0,0.4827586206896552,168.0,349.0
26,georgia,2016-09-14,2016-09-14,0,2016-09-14,37,1,Opinion Savvy/Fox 5 Atlanta,IVR/Online,,568.0,42.0,46.0,88.0,10.0,0.4772727272727273,239.0,500.0
27,georgia,2016-09-06,2016-09-08,2,2016-09-07,36,1,NBC/WSJ/Marist,Live Phone,,625.0,43.0,46.0,89.0,8.0,0.48314606741573035,269.0,556.0
28,georgia,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,2034.0,46.0,46.0,92.0,0.0,0.5,936.0,1871.0
29,georgia,2016-08-17,2016-08-17,0,2016-08-17,33,1,Opinion Savvy/Fox 5 Atlanta,IVR/Online,,730.0,43.0,43.0,86.0,11.0,0.5,314.0,628.0
30,georgia,2016-08-10,2016-08-12,2,2016-08-11,32,2,CBS/YouGov,Internet,,988.0,41.0,45.0,86.0,9.0,0.47674418604651164,405.0,850.0
31,georgia,2016-08-04,2016-08-08,4,2016-08-06,31,4,Gravis Marketing,IVR/Online,,1604.0,44.0,45.0,89.0,11.0,0.4943820224719101,706.0,1428.0
32,georgia,2016-08-01,2016-08-04,3,2016-08-02,31,0,Abt SRBI Inc/Atlanta Journal-Constitution,Live Phone,,847.0,44.0,40.0,84.0,10.0,0.5238095238095238,373.0,711.0
33,georgia,2016-08-01,2016-08-01,0,2016-08-01,30,6,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Online,,787.0,46.0,46.0,92.0,5.0,0.5,362.0,724.0
34,georgia,2016-07-29,2016-07-31,2,2016-07-30,30,4,SurveyUSA/TEGNA,IVR/Online,,628.0,42.0,46.0,88.0,7.0,0.4772727272727273,264.0,553.0
35,georgia,2016-07-24,2016-07-24,0,2016-07-24,29,5,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Online,,500.0,44.0,45.0,89.0,7.0,0.4943820224719101,220.0,445.0
36,georgia,2016-05-27,2016-05-30,3,2016-05-28,21,4,PPP (D),IVR/Online,,724.0,38.0,45.0,83.0,8.0,0.4578313253012048,275.0,601.0
37,georgia,2016-05-15,2016-05-15,0,2016-05-15,19,5,Opinion Savvy/Fox 5 Atlanta,IVR/Online,,587.0,41.0,44.0,85.0,10.0,0.4823529411764706,241.0,499.0
38,georgia,2016-05-09,2016-05-12,3,2016-05-10,19,0,Abt SRBI Inc/Atlanta Journal-Constitution,Live Phone,,822.0,41.0,45.0,86.0,8.0,0.47674418604651164,337.0,707.0
39,georgia,2016-05-05,2016-05-05,0,2016-05-05,18,2,Landmark (R)/Rosetta Stone/WSB-TV,IVR/Online,,570.0,41.0,42.0,83.0,0.0,0.4939759036144578,234.0,473.0
40,georgia,2016-03-31,2016-04-03,3,2016-04-01,13,3,Lake Research (D),Live Phone,,400.0,50.0,37.0,87.0,0.0,0.5747126436781609,200.0,348.0
0,missouri,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1368.0,40.0,48.0,88.0,11.0,0.45454545454545453,547.0,1204.0
1,missouri,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,380.0,44.0,49.0,93.0,7.0,0.4731182795698925,167.0,353.0
2,missouri,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,836.0,40.0,48.0,88.0,0.0,0.45454545454545453,334.0,736.0
3,missouri,2016-10-31,2016-11-01,1,2016-10-31,43,6,PPP (D-Center for American Progress Action Fund),IVR/Online,,1083.0,41.0,52.0,93.0,0.0,0.44086021505376344,444.0,1007.0
4,missouri,2016-10-27,2016-11-01,5,2016-10-29,43,4,DFM Research (D-SMART),Live Phone,,508.0,38.0,47.0,85.0,4.0,0.4470588235294118,193.0,432.0
5,missouri,2016-10-28,2016-10-31,3,2016-10-29,43,4,Monmouth University,Live Phone,,405.0,38.0,52.0,90.0,7.0,0.4222222222222222,154.0,364.0
6,missouri,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,671.0,39.0,46.0,85.0,13.0,0.4588235294117647,262.0,570.0
7,missouri,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,374.0,44.0,53.0,97.0,4.0,0.4536082474226804,165.0,363.0
8,missouri,2016-10-24,2016-10-26,2,2016-10-25,43,0,Mason-Dixon/Post-Dispatch,Live Phone,,625.0,42.0,47.0,89.0,4.0,0.47191011235955055,262.0,556.0
9,missouri,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,716.0,36.0,50.0,86.0,12.0,0.4186046511627907,258.0,616.0
10,missouri,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,359.0,45.0,51.0,96.0,4.0,0.46875,162.0,345.0
11,missouri,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,812.0,36.0,48.0,84.0,0.0,0.42857142857142855,292.0,682.0
12,missouri,2016-10-09,2016-10-11,2,2016-10-10,40,6,Monmouth University,Live Phone,,406.0,41.0,46.0,87.0,8.0,0.47126436781609193,166.0,353.0
13,missouri,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,570.0,44.0,53.0,97.0,4.0,0.4536082474226804,251.0,553.0
14,missouri,2016-09-21,2016-09-23,2,2016-09-22,38,2,CBS/YouGov,Internet,,1087.0,37.0,46.0,83.0,9.0,0.4457831325301205,402.0,902.0
15,missouri,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,660.0,35.0,51.0,86.0,0.0,0.4069767441860465,231.0,568.0
16,missouri,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,1801.0,41.0,51.0,92.0,0.0,0.44565217391304346,738.0,1657.0
17,missouri,2016-08-26,2016-08-27,1,2016-08-26,34,3,PPP (D-NELP) ,IVR/Online,,1055.0,41.0,47.0,88.0,0.0,0.4659090909090909,433.0,928.0
18,missouri,2016-08-19,2016-08-22,3,2016-08-20,33,4,Monmouth University,Live Phone,,401.0,43.0,44.0,87.0,9.0,0.4942528735632184,172.0,349.0
19,missouri,2016-08-08,2016-08-09,1,2016-08-08,31,6,PPP (D-Protect Missouri Families),IVR/Online,,947.0,42.0,45.0,87.0,0.0,0.4827586206896552,398.0,824.0
20,missouri,2016-07-23,2016-07-24,1,2016-07-23,29,4,Mason-Dixon,Live Phone,,625.0,41.0,40.0,81.0,10.0,0.5061728395061729,256.0,506.0
21,missouri,2016-07-20,2016-07-24,4,2016-07-22,29,3,SurveyUSA/KSDK,Mixed,,1943.0,37.0,47.0,84.0,8.0,0.44047619047619047,719.0,1632.0
22,missouri,2016-07-11,2016-07-12,1,2016-07-11,27,6,PPP (D),IVR/Online,,959.0,36.0,46.0,82.0,8.0,0.43902439024390244,345.0,786.0
0,maryland,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1216.0,59.0,28.0,87.0,10.0,0.6781609195402298,717.0,1058.0
1,maryland,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,329.0,56.0,38.0,94.0,6.0,0.5957446808510638,184.0,309.0
2,maryland,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,720.0,56.0,34.0,90.0,0.0,0.6222222222222222,403.0,648.0
3,maryland,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,740.0,63.0,27.0,90.0,8.0,0.7,466.0,666.0
4,maryland,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,330.0,58.0,38.0,96.0,4.0,0.6041666666666666,191.0,317.0
5,maryland,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,915.0,61.0,27.0,88.0,9.0,0.6931818181818182,558.0,805.0
6,maryland,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,325.0,59.0,37.0,96.0,4.0,0.6145833333333334,192.0,312.0
7,maryland,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,686.0,54.0,32.0,86.0,0.0,0.627906976744186,370.0,590.0
8,maryland,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,527.0,58.0,39.0,97.0,4.0,0.5979381443298969,306.0,511.0
9,maryland,2016-09-27,2016-09-30,3,2016-09-28,39,1,Washington Post/University of Maryland,Live Phone,,706.0,63.0,27.0,90.0,6.0,0.7,445.0,635.0
10,maryland,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,628.0,50.0,34.0,84.0,0.0,0.5952380952380952,314.0,528.0
11,maryland,2016-09-17,2016-09-20,3,2016-09-18,37,5,Goucher College/Sarah T. Hughes Field Politics Center,Live Phone,,514.0,58.0,25.0,83.0,8.0,0.6987951807228916,298.0,427.0
12,maryland,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,1199.0,61.0,31.0,92.0,0.0,0.6630434782608695,731.0,1103.0
13,maryland,2016-08-18,2016-08-30,12,2016-08-24,34,1,Baltimore Sun/University of Baltimore/OpinionWorks,Live Phone,,756.0,54.0,25.0,79.0,10.0,0.6835443037974683,408.0,597.0
14,maryland,2016-04-15,2016-04-17,2,2016-04-16,15,4,PPP (D),IVR/Online,,879.0,61.0,28.0,89.0,0.0,0.6853932584269663,536.0,782.0
15,maryland,2016-04-05,2016-04-09,4,2016-04-07,14,2,NBC4/Marist,Live Phone,,2563.0,63.0,27.0,90.0,0.0,0.7,1615.0,2307.0
0,michigan,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,3145.0,44.0,42.0,86.0,11.0,0.5116279069767442,1384.0,2705.0
1,michigan,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,334.0,49.0,45.0,94.0,6.0,0.5212765957446809,164.0,314.0
2,michigan,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,609.0,46.0,45.0,91.0,0.0,0.5054945054945055,280.0,554.0
3,michigan,2016-11-03,2016-11-04,1,2016-11-03,44,2,PPP (D),IVR/Online,,957.0,46.0,41.0,87.0,8.0,0.5287356321839081,440.0,833.0
4,michigan,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,1649.0,43.0,42.0,85.0,13.0,0.5058823529411764,709.0,1402.0
5,michigan,2016-09-01,2016-10-30,59,2016-09-30,39,3,Michigan State University,Live Phone,,746.0,52.0,32.0,84.0,6.0,0.6190476190476191,388.0,627.0
6,michigan,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,337.0,51.0,46.0,97.0,4.0,0.5257731958762887,172.0,327.0
7,michigan,2016-10-22,2016-10-24,2,2016-10-23,42,5,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,,600.0,45.0,37.0,82.0,3.0,0.5487804878048781,270.0,492.0
8,michigan,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,1663.0,44.0,40.0,84.0,13.0,0.5238095238095238,732.0,1397.0
9,michigan,2016-10-16,2016-10-19,3,2016-10-17,41,6,Marketing Resource Group (R),Live Phone,,600.0,41.0,36.0,77.0,11.0,0.5324675324675324,246.0,462.0
10,michigan,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,327.0,52.0,44.0,96.0,4.0,0.5416666666666666,170.0,314.0
11,michigan,2016-10-08,2016-10-16,8,2016-10-12,41,1,WashPost/SurveyMonkey,Internet,,1331.0,51.0,42.0,93.0,0.0,0.5483870967741935,679.0,1238.0
12,michigan,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,2192.0,44.0,37.0,81.0,0.0,0.5432098765432098,964.0,1776.0
13,michigan,2016-10-10,2016-10-11,1,2016-10-10,40,6,Glengariff/Detroit News/WDIV,Live Phone,,600.0,47.0,33.0,80.0,5.0,0.5875,282.0,480.0
14,michigan,2016-10-01,2016-10-03,2,2016-10-02,39,5,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,,600.0,46.0,36.0,82.0,2.0,0.5609756097560976,276.0,492.0
15,michigan,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,554.0,50.0,46.0,96.0,4.0,0.5208333333333334,277.0,532.0
16,michigan,2016-09-27,2016-09-28,1,2016-09-27,39,0,Glengariff/Detroit News/WDIV,Live Phone,,600.0,46.0,39.0,85.0,4.0,0.5411764705882353,276.0,510.0
17,michigan,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,957.0,43.0,42.0,85.0,0.0,0.5058823529411764,412.0,813.0
18,michigan,2016-09-10,2016-09-13,3,2016-09-11,36,5,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,,600.0,42.0,38.0,80.0,3.0,0.525,252.0,480.0
19,michigan,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,2428.0,46.0,44.0,90.0,0.0,0.5111111111111111,1117.0,2185.0
20,michigan,2016-08-22,2016-08-24,2,2016-08-23,34,0,Suffolk,Live Phone,,500.0,44.0,37.0,81.0,8.0,0.5432098765432098,220.0,405.0
21,michigan,2016-07-30,2016-08-04,5,2016-08-01,30,6,EPIC-MRA/Detroit Free Press/WXYZ-TV ,Live Phone,,600.0,46.0,36.0,82.0,1.0,0.5609756097560976,276.0,492.0
22,michigan,2016-07-30,2016-08-01,2,2016-07-31,30,5,Glengariff/Detroit News/WDIV,Live Phone,,600.0,41.0,32.0,73.0,12.0,0.5616438356164384,246.0,438.0
23,michigan,2016-07-13,2016-07-15,2,2016-07-14,28,2,CBS/YouGov,Internet,,1201.0,42.0,39.0,81.0,11.0,0.5185185185185185,504.0,973.0
24,michigan,2016-07-11,2016-07-15,4,2016-07-13,28,1,Marketing Resource Group (R),Live Phone,,800.0,34.0,29.0,63.0,7.0,0.5396825396825397,272.0,504.0
25,michigan,2016-07-05,2016-07-11,6,2016-07-08,27,3,Mitchell Research (R)/Fox 2 Detroit/(MAHP),IVR/Live Phone,,600.0,40.0,34.0,74.0,0.0,0.5405405405405406,240.0,444.0
26,michigan,2016-07-07,2016-07-08,1,2016-07-07,27,2,Gravis Marketing,Automated Phone,,1562.0,48.0,41.0,89.0,11.0,0.5393258426966292,750.0,1390.0
27,michigan,2016-06-11,2016-06-20,9,2016-06-15,24,1,GQR (D-Democracy Corps/Women's Voices Women Vote),Live Phone,,300.0,50.0,39.0,89.0,6.0,0.5617977528089888,150.0,267.0
